,Age,Income,Emp_stat_Present,Gender,Marital_status,Loc,Notice_things_Present,All_angles_Present,Sincere_prod_Present,Lonely_Present,Worry_health_Present,Charity_Present,New_env_Present,Meeting_ppl_Present,Hob_interests_Present,Surveys_Present,Spent_onli_Present,WFH_office_Present,Ethu_Present,Income_Change,Smoking_hab_Present,Drinking_hab_Present,Sleeping_hab_Present,Healthy_Lifestyle_Present,Medi_pref_Present,Pol_interest_Present,Internet_interest_Present,Economy_Manag_intrst_Present,Medicine_intrst_Present,Religion_intrst_Present,Save_all_money_Present,Brand_non-brand_Present,Food_pref_Present,Mode_of_transport_Present,Basic_medications_Present,Digital_content_Present,Active_Investor_Present,Edu_instit_fee_Present,Change_in_data_consumption,Spend_on_gadgets_Present,Spend_on_Luxury_Present,Track_Household_exp_Present,Domestic_help_Present,Spending_kind_Present
303,1,3.0,4.0,0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2,0.0,2.0,0.0,2.0,2,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
304,0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,2,1.0,0.0,0.0,2.0,1,3.0,0.0,1.0,2.0,3,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,1.0,0.0,2.0
305,0,0.0,0.0,1,1.0,2.0,3.0,3.0,0.0,4.0,1.0,4.0,3.0,3.0,0.0,0.0,0,2.0,3.0,2.0,2.0,1,3.0,4.0,0.0,3.0,3,3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0
306,1,3.0,0.0,0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2,0.0,3.0,2.0,2.0,1,2.0,1.0,0.0,2.0,3,0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,2.0,1.0,2.0
307,0,1.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2,0.0,0.0,2.0,2.0,1,2.0,2.0,1.0,3.0,3,3.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
308,0,2.0,0.0,0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,1,3.0,2.0,0.0,2.0,1,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0
309,0,2.0,0.0,1,0.0,2.0,3.0,0.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0,2.0,0.0,2.0,1.0,2,3.0,0.0,1.0,0.0,0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0
310,0,2.0,3.0,1,0.0,2.0,3.0,3.0,3.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,0,1.0,0.0,2.0,2.0,2,3.0,0.0,1.0,2.0,3,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0
311,0,4.0,2.0,1,0.0,2.0,0.0,3.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,0,2.0,0.0,2.0,2.0,1,2.0,2.0,1.0,2.0,1,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0
312,1,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,2.0,1,2.0,2.0,1.0,2.0,0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0
313,0,4.0,3.0,0,0.0,2.0,0.0,0.0,0.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2,0.0,2.0,2.0,2.0,1,0.0,0.0,0.0,2.0,0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0
314,1,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2,2.0,2.0,2.0,2.0,2,3.0,2.0,1.0,0.0,3,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0
315,0,5.0,0.0,1,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2,2.0,0.0,2.0,2.0,1,3.0,2.0,1.0,1.0,0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
316,5,1.0,0.0,1,1.0,1.0,3.0,3.0,3.0,4.0,4.0,0.0,2.0,4.0,0.0,0.0,1,0.0,2.0,2.0,2.0,1,0.0,4.0,1.0,1.0,0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0
317,0,4.0,3.0,0,0.0,1.0,3.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,2,0.0,0.0,2.0,2.0,1,3.0,0.0,1.0,2.0,0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0
318,0,5.0,0.0,1,0.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,2,1.0,3.0,1.0,0.0,2,3.0,0.0,0.0,2.0,3,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0
319,0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,2.0,1,2.0,2.0,1.0,1.0,0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0
320,1,3.0,1.0,1,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,1.0,2,0.0,4.0,0.0,1.0,1,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,4.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0
321,0,0.0,0.0,1,0.0,2.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,4.0,0,2.0,3.0,2.0,2.0,1,2.0,2.0,1.0,0.0,3,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0
322,4,3.0,0.0,0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,1.0,3,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0
323,0,2.0,0.0,1,0.0,2.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0,1,0.0,3.0,1.0,2.0,1,0.0,4.0,1.0,2.0,1,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0
324,0,4.0,4.0,1,0.0,2.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0,0.0,2.0,0.0,2.0,1,3.0,0.0,0.0,2.0,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0
325,1,2.0,0.0,1,0.0,2.0,0.0,3.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,4.0,0,0.0,0.0,2.0,2.0,2,0.0,2.0,1.0,1.0,1,1.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0
326,2,3.0,0.0,0,0.0,2.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,0.0,2,0.0,2.0,1.0,2.0,1,3.0,0.0,1.0,2.0,3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0
327,1,3.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0,2.0,1,3.0,4.0,1.0,1.0,0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0
328,1,2.0,0.0,1,0.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,0.0,1.0,0.0,2.0,0,0.0,0.0,2.0,2.0,2,3.0,4.0,1.0,2.0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
329,0,3.0,2.0,1,0.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2,1.0,3.0,0.0,2.0,0,3.0,3.0,0.0,3.0,0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0
330,1,2.0,0.0,1,0.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,2,0.0,0.0,1.0,2.0,1,2.0,0.0,1.0,2.0,3,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0
331,5,3.0,0.0,1,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,2,0.0,2.0,0.0,0.0,2,0.0,4.0,1.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
332,0,3.0,0.0,1,0.0,2.0,3.0,3.0,3.0,4.0,0.0,0.0,0.0,4.0,0.0,2.0,1,2.0,0.0,2.0,2.0,1,3.0,2.0,1.0,2.0,1,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0
333,0,4.0,3.0,0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2,0.0,0.0,2.0,2.0,1,3.0,2.0,0.0,2.0,1,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0
334,4,0.0,1.0,1,1.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,4.0,4.0,2.0,2.0,3,1.0,2.0,2.0,3.0,2,3.0,2.0,0.0,0.0,2,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
335,4,2.0,0.0,0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.0,1.0,1,1.0,2.0,2.0,3.0,1,0.0,2.0,0.0,2.0,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,3.0,0.0,2.0,2.0,1.0
336,0,4.0,2.0,0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,0,0.0,3.0,0.0,2.0,1,0.0,4.0,0.0,2.0,0,0.0,0.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0
337,0,3.0,0.0,0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2,2.0,2.0,0.0,2.0,1,0.0,2.0,0.0,1.0,0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0
338,3,0.0,0.0,1,1.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,0.0,0.0,0.0,2.0,1,3.0,0.0,1.0,3.0,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0
339,0,2.0,2.0,1,0.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,4.0,2.0,4.0,3,1.0,1.0,0.0,2.0,1,0.0,4.0,0.0,2.0,1,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,4.0,1.0,2.0,1.0,1.0
340,0,4.0,3.0,0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,0,0.0,0.0,2.0,2.0,1,3.0,2.0,1.0,2.0,0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0
341,3,1.0,0.0,1,1.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0,0.0,2.0,0.0,2.0,2,3.0,2.0,1.0,1.0,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0
342,0,2.0,0.0,1,1.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0,2.0,0.0,2.0,1.0,2,3.0,2.0,1.0,0.0,0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,2.0
343,0,4.0,4.0,1,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2,0.0,2.0,2.0,2.0,2,2.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0
344,0,3.0,2.0,1,0.0,2.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0,1.0,3.0,0.0,2.0,1,2.0,0.0,1.0,0.0,0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0
345,0,4.0,3.0,1,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,2.0,1,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0
346,0,2.0,0.0,1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2,0.0,0.0,2.0,3.0,2,2.0,2.0,0.0,0.0,3,0.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0
347,0,2.0,0.0,0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,4.0,2,2.0,2.0,2.0,2.0,1,2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0
348,0,0.0,5.0,0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0,1.0,1.0,2.0,2.0,1,3.0,2.0,1.0,2.0,3,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,1.0
349,1,3.0,0.0,1,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2,0.0,0.0,0.0,2.0,1,3.0,4.0,1.0,1.0,0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0
350,0,4.0,3.0,0,0.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,3.0,2,0.0,3.0,2.0,2.0,1,0.0,0.0,1.0,2.0,1,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
351,2,5.0,0.0,0,1.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0,2,0.0,3.0,2.0,2.0,1,0.0,2.0,1.0,2.0,1,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0
352,4,1.0,1.0,1,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2,0.0,3.0,2.0,0.0,2,2.0,0.0,1.0,1.0,1,1.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0
353,0,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2,0.0,1.0,0.0,3.0,1,2.0,1.0,1.0,0.0,0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,2.0
354,0,4.0,3.0,0,0.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,0,2.0,0.0,2.0,3.0,2,3.0,0.0,1.0,2.0,1,2.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0
355,0,1.0,0.0,0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,1,0.0,3.0,2.0,2.0,2,0.0,2.0,0.0,0.0,3,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0
356,0,4.0,3.0,0,0.0,2.0,2.0,3.0,0.0,2.0,0.0,4.0,2.0,4.0,3.0,2.0,0,2.0,2.0,0.0,2.0,1,0.0,4.0,1.0,1.0,1,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0
357,4,0.0,2.0,1,1.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0,2.0,2.0,2.0,2.0,1,0.0,1.0,0.0,2.0,1,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,2.0,2.0,1.0
358,1,2.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1,0.0,0.0,2.0,2.0,1,3.0,2.0,1.0,2.0,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0
359,4,2.0,2.0,1,1.0,2.0,2.0,3.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1,1.0,1.0,0.0,0.0,0,2.0,0.0,0.0,2.0,0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
360,1,3.0,4.0,0,0.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2,0.0,2.0,0.0,2.0,2,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,2.0
361,4,2.0,1.0,0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,0.0,3.0,0,0.0,3.0,2.0,2.0,1,2.0,1.0,1.0,0.0,0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0
362,2,3.0,1.0,0,0.0,2.0,3.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,2.0,1,2.0,0.0,0.0,2.0,1,2.0,0.0,1.0,3.0,0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0
363,4,2.0,2.0,0,1.0,2.0,3.0,3.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,0,0.0,1.0,0.0,2.0,1,2.0,4.0,1.0,0.0,1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0
364,0,4.0,4.0,0,0.0,2.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,2,0.0,0.0,2.0,2.0,1,3.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0
365,4,1.0,0.0,1,1.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,2.0,2.0,2,0.0,4.0,1.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0
366,4,1.0,0.0,1,1.0,2.0,0.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,2.0,2.0,2,0.0,4.0,1.0,0.0,0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0
367,1,3.0,0.0,1,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1,0.0,3.0,0.0,2.0,2,2.0,0.0,0.0,2.0,0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0
368,0,4.0,3.0,0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2,0.0,1.0,2.0,2.0,1,3.0,0.0,0.0,2.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0
369,0,3.0,0.0,0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,2,1.0,0.0,2.0,2.0,1,0.0,0.0,1.0,1.0,3,0.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0
370,0,2.0,0.0,0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,2,0.0,3.0,2.0,2.0,1,3.0,3.0,0.0,2.0,3,3.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0
371,0,4.0,3.0,0,0.0,2.0,3.0,0.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,3.0,0,0.0,1.0,2.0,2.0,1,0.0,4.0,1.0,3.0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0
372,0,3.0,0.0,0,0.0,1.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,2.0,2,0.0,3.0,0.0,2.0,1,2.0,2.0,1.0,2.0,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0
373,0,5.0,0.0,1,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,2,0.0,4.0,1.0,2.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0
374,3,2.0,4.0,0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,3.0,0.0,0,0.0,0.0,0.0,2.0,1,2.0,0.0,1.0,1.0,0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,1.0
375,0,4.0,3.0,0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,0,2.0,0.0,2.0,2.0,1,3.0,2.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0
376,3,2.0,0.0,0,1.0,2.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0,0.0,4.0,0.0,2.0,1,3.0,4.0,0.0,3.0,0,3.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0
377,0,4.0,2.0,0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,2.0,4.0,3.0,3.0,2,0.0,2.0,2.0,2.0,1,3.0,3.0,1.0,0.0,3,3.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0
378,1,3.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0,0.0,2.0,2.0,1.0,1,2.0,2.0,0.0,1.0,0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0
379,5,4.0,5.0,0,1.0,2.0,0.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,3,0.0,1.0,2.0,2.0,1,0.0,2.0,0.0,2.0,2,2.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,2.0,4.0,1.0,2.0,0.0,1.0
